symbol,name,current_price,avg_volume_30d,price_52w_high,price_52w_low,ytd_return,volatility_annualized,sma_20,sma_50,market_cap_category,data_collected_at,bars_count
ADI,"Analog Devices, Inc.",215.27,4012961.1666666665,246.02956850618523,158.64999389648438,-4.079306680837725,0.3785081326134664,213.40549926757814,199.81799926757813,Medium Price,2025-05-29T18:16:58.494921,251
TXN,Texas Instruments Incorporated,184.32,7666438.1,216.92155234768313,138.7661291265372,-2.6458525204694827,0.42731503418200256,177.9422492980957,168.92190338134765,Medium Price,2025-05-29T18:16:58.700743,251
NXPI,NXP Semiconductors N.V.,195.74,3110671.066666667,292.00637598827916,148.08999633789062,-27.259838422699623,0.43120236471818196,198.20049972534179,189.90419982910157,Medium Price,2025-05-29T18:16:58.814664,251
SWKS,"Skyworks Solutions, Inc.",69.29,3506770.4,116.69719223753181,47.44648554166133,-20.282477351068895,0.3435829572387407,69.25348815917968,63.911983795166016,Low Price,2025-05-29T18:16:59.103533,251
QRVO,"Qorvo, Inc.",76.135,2085173.8,130.99000549316406,49.459999084472656,-20.923345345324407,0.3563587840719475,75.352250289917,68.82730033874512,Low Price,2025-05-29T18:16:59.319260,251
MPWR,"Monolithic Power Systems, Inc.",682.095,741767.5666666667,953.7859836887119,438.8599853515625,-7.912487460527551,0.5356496274787378,673.5467529296875,604.0005426025391,High Price,2025-05-29T18:16:59.536868,251
MSFT,Microsoft Corporation,457.9,21618341.866666667,464.78650009669735,344.1581969485817,7.532550594749532,0.30468170057031824,447.08941650390625,407.05199768066404,Medium Price,2025-05-29T18:16:59.744492,251
GOOGL,Alphabet Inc.,171.43,40642611.0,206.81182081300247,140.52999877929688,-2.0752761434719713,0.3844644955686568,163.98999938964843,159.81420074462892,Medium Price,2025-05-29T18:16:59.926480,251
AMZN,"Amazon.com, Inc.",205.205,44909057.5,242.52000427246094,151.61000061035156,12.740359244632128,0.3644500054584445,199.89000091552734,191.6886001586914,Medium Price,2025-05-29T18:17:00.079210,251
META,"Meta Platforms, Inc.",644.18,14845101.266666668,740.2514192957425,441.478936235345,36.29523440066615,0.38995847790400956,624.4450042724609,581.4248022460938,High Price,2025-05-29T18:17:00.311975,251
ORCL,Oracle Corporation,161.96,7907683.666666667,197.11567267397353,113.2848267763727,32.34911391199196,0.31875241488108125,156.18399963378906,145.44761367797852,Medium Price,2025-05-29T18:17:00.512139,251
CRM,"Salesforce, Inc.",262.52,6532582.4,368.0012138342595,210.76668330358356,-2.7810180653219385,0.3263531659659686,280.23500061035156,269.62562683105466,Medium Price,2025-05-29T18:17:00.728643,251
NVDA,NVIDIA Corporation,139.03,229400488.76666668,153.1159160516902,86.62000274658203,21.19374974327699,0.36048666947170094,126.91725006103516,115.84789993286132,Medium Price,2025-05-29T18:17:00.732438,251
NOW,"ServiceNow, Inc.",1015.82,1681432.4,1198.0899658203125,637.989990234375,38.940257975217605,0.22301425769441816,1005.8980010986328,896.2907995605469,High Price,2025-05-29T18:17:00.828575,251
SNOW,Snowflake Inc.,203.28,5024721.5,209.8000030517578,107.12999725341797,37.1752449087603,0.5176746360265879,182.91899948120118,162.9899996948242,Medium Price,2025-05-29T18:17:01.151724,251
