param_1,param_2,threshold,accuracy,profit_score,total_predictions,buy_predictions,sell_predictions,hold_predictions
0.5,1.6000000000000005,0.44999999999999996,0.19825072886297376,-414,686,14,12,660
0.5,1.6000000000000005,0.49999999999999994,0.1880466472303207,-428,686,0,0,686
0.5,1.6000000000000005,0.5499999999999999,0.1880466472303207,-428,686,0,0,686
0.5,1.7000000000000006,0.3,0.3177842565597668,-250,686,194,125,367
0.5,1.7000000000000006,0.35,0.2755102040816326,-308,686,130,96,460
0.5,1.7000000000000006,0.39999999999999997,0.23615160349854228,-362,686,67,48,571
0.5,1.7000000000000006,0.44999999999999996,0.19825072886297376,-414,686,14,17,655
0.5,1.7000000000000006,0.49999999999999994,0.1880466472303207,-428,686,0,0,686
0.5,1.7000000000000006,0.5499999999999999,0.1880466472303207,-428,686,0,0,686
0.5,1.8000000000000007,0.3,0.3177842565597668,-250,686,199,126,361
0.5,1.8000000000000007,0.35,0.2857142857142857,-294,686,136,101,449
0.5,1.8000000000000007,0.39999999999999997,0.239067055393586,-358,686,72,59,555
0.5,1.8000000000000007,0.44999999999999996,0.20116618075801748,-410,686,16,18,652
0.5,1.8000000000000007,0.49999999999999994,0.1880466472303207,-428,686,0,0,686
0.5,1.8000000000000007,0.5499999999999999,0.1880466472303207,-428,686,0,0,686
0.5,1.9000000000000008,0.3,0.3206997084548105,-246,686,202,130,354
0.5,1.9000000000000008,0.35,0.2886297376093295,-290,686,145,102,439
0.5,1.9000000000000008,0.39999999999999997,0.24635568513119532,-348,686,80,65,541
0.5,1.9000000000000008,0.44999999999999996,0.20262390670553937,-408,686,17,23,646
0.5,1.9000000000000008,0.49999999999999994,0.1880466472303207,-428,686,0,0,686
0.5,1.9000000000000008,0.5499999999999999,0.1880466472303207,-428,686,0,0,686
0.6,1.0,0.3,0.2988338192419825,-276,686,169,114,403
0.6,1.0,0.35,0.24198250728862974,-354,686,74,60,552
0.6,1.0,0.39999999999999997,0.19825072886297376,-414,686,16,17,653
0.6,1.0,0.44999999999999996,0.1880466472303207,-428,686,3,1,682
0.6,1.0,0.49999999999999994,0.1880466472303207,-428,686,0,0,686
0.6,1.0,0.5499999999999999,0.1880466472303207,-428,686,0,0,686
0.6,1.1,0.3,0.31341107871720114,-256,686,186,120,380
0.6,1.1,0.35,0.25510204081632654,-336,686,84,75,527
0.6,1.1,0.39999999999999997,0.20845481049562684,-400,686,21,23,642
0.6,1.1,0.44999999999999996,0.1880466472303207,-428,686,4,2,680
0.6,1.1,0.49999999999999994,0.1880466472303207,-428,686,0,0,686
0.6,1.1,0.5499999999999999,0.1880466472303207,-428,686,0,0,686
0.6,1.2000000000000002,0.3,0.3163265306122449,-252,686,193,128,365
0.6,1.2000000000000002,0.35,0.2653061224489796,-322,686,103,86,497
0.6,1.2000000000000002,0.39999999999999997,0.21428571428571427,-392,686,27,31,628
0.6,1.2000000000000002,0.44999999999999996,0.1880466472303207,-428,686,8,6,672
0.6,1.2000000000000002,0.49999999999999994,0.1880466472303207,-428,686,0,0,686
0.6,1.2000000000000002,0.5499999999999999,0.1880466472303207,-428,686,0,0,686
0.6,1.3000000000000003,0.3,0.31924198250728864,-248,686,200,130,356
0.6,1.3000000000000003,0.35,0.27113702623906705,-314,686,123,92,471
0.6,1.3000000000000003,0.39999999999999997,0.22011661807580174,-384,686,35,35,616
0.6,1.3000000000000003,0.44999999999999996,0.19096209912536444,-424,686,10,9,667
0.6,1.3000000000000003,0.49999999999999994,0.1880466472303207,-428,686,0,0,686
0.6,1.3000000000000003,0.5499999999999999,0.1880466472303207,-428,686,0,0,686
0.6,1.4000000000000004,0.3,0.3250728862973761,-240,686,206,138,342
0.6,1.4000000000000004,0.35,0.27988338192419826,-302,686,133,99,454
0.6,1.4000000000000004,0.39999999999999997,0.2303206997084548,-370,686,52,45,589
0.6,1.4000000000000004,0.44999999999999996,0.19533527696793002,-418,686,10,13,663
0.6,1.4000000000000004,0.49999999999999994,0.1880466472303207,-428,686,0,0,686
0.6,1.4000000000000004,0.5499999999999999,0.1880466472303207,-428,686,0,0,686
0.6,1.5000000000000004,0.3,0.32653061224489793,-238,686,212,141,333
0.6,1.5000000000000004,0.35,0.2857142857142857,-294,686,144,104,438
0.6,1.5000000000000004,0.39999999999999997,0.23469387755102042,-364,686,60,51,575
0.6,1.5000000000000004,0.44999999999999996,0.19825072886297376,-414,686,12,13,661
0.6,1.5000000000000004,0.49999999999999994,0.1880466472303207,-428,686,0,0,686
0.6,1.5000000000000004,0.5499999999999999,0.1880466472303207,-428,686,0,0,686
