param_1,param_2,threshold,accuracy,profit_score,total_predictions,buy_predictions,sell_predictions,hold_predictions
1.2,1.760000000000001,0.25,0.35422740524781343,-115,686,325,226,135
1.2,1.760000000000001,0.26,0.36005830903790087,-107,686,321,220,145
1.2,1.760000000000001,0.27,0.358600583090379,-107,686,320,219,147
1.2,1.760000000000001,0.28,0.34839650145772594,-112,686,312,214,160
1.2,1.760000000000001,0.29000000000000004,0.34402332361516036,-111,686,309,208,169
1.2,1.760000000000001,0.30000000000000004,0.34402332361516036,-107,686,303,206,177
1.2,1.760000000000001,0.31000000000000005,0.3425655976676385,-107,686,296,205,185
1.2,1.760000000000001,0.32000000000000006,0.3469387755102041,-101,686,290,201,195
1.2,1.760000000000001,0.33000000000000007,0.3454810495626822,-98,686,285,195,206
1.2,1.760000000000001,0.3400000000000001,0.3454810495626822,-87,686,274,189,223
