symbol,name,current_price,avg_volume_30d,price_52w_high,price_52w_low,ytd_return,volatility_annualized,sma_20,sma_50,market_cap_category,data_collected_at,bars_count,open,daily_high,daily_low,close,high,low
ASML,ASML Holding N.V. - New York Re,,1206423.3333333333,1100.0128129630789,576.8708473389951,-26.108175530485767,0.29572317525433317,746.4205047607422,694.7972192382813,High Price,2025-06-07T19:07:22.562707,250,756.0599975585938,,,753.02,762.0999755859375,752.7999877929688
MU,"Micron Technology, Inc.",,18401736.666666668,156.81709354436563,61.540000915527344,-16.709615697101864,0.42095826752065946,97.34949989318848,84.95692932128907,Medium Price,2025-06-07T19:07:22.899714,250,108.08000183105469,,,108.56,111.05000305175781,108.04000091552734
ADI,"Analog Devices, Inc.",,4167893.3333333335,244.91448617180257,157.93094333806346,-3.702125113587418,0.3652461629225876,218.50313262939454,199.97590423583983,Medium Price,2025-06-07T19:07:23.037301,250,220.67999267578125,,,222.26,225.35000610351562,220.6300048828125
MCHP,Microchip Technology Incorporat,,10074036.666666666,94.34472854206108,33.86790419123942,-27.76242312278714,0.6594031337771556,60.11843986511231,50.1063117980957,Low Price,2025-06-07T19:07:23.079376,250,65.69000244140625,,,65.25,66.05999755859375,65.08999633789062
NXPI,NXP Semiconductors N.V.,,3027503.3333333335,292.0064086917568,148.08999633789062,-22.27209082204684,0.463058411615344,202.94399948120116,189.27999969482423,Medium Price,2025-06-07T19:07:23.432821,250,210.60000610351562,,,207.68,211.0,207.38999938964844
SWKS,"Skyworks Solutions, Inc.",,3983000.0,116.69719223753181,47.44648554166133,-18.352878814536066,0.3550214521821245,70.71403541564942,64.24021133422852,Low Price,2025-06-07T19:07:23.566041,250,71.69999694824219,,,71.59,72.51000213623047,71.37000274658203
TXN,Texas Instruments Incorporated,,6963340.0,216.92155234768313,138.7661291265372,1.2549802716205205,0.4011413208979277,185.5775016784668,169.78772796630858,Medium Price,2025-06-07T19:07:23.611242,250,193.69000244140625,,,192.42,194.83999633789062,192.25999450683594
QRVO,"Qorvo, Inc.",,2128776.6666666665,130.99000549316406,49.459999084472656,-21.017184120705934,0.3599874519376533,77.47450065612793,69.38680046081544,Low Price,2025-06-07T19:07:23.961710,250,79.57499694824219,,,78.58,79.81999969482422,78.48999786376953
MPWR,"Monolithic Power Systems, Inc.",,669000.0,953.7860466278369,438.8599853515625,-7.886138094542172,0.5170245508921258,689.161001586914,611.9316412353515,High Price,2025-06-07T19:07:23.995456,250,698.27001953125,,,687.08,698.760009765625,685.52001953125
MSFT,Microsoft Corporation,,21529113.333333332,473.3399963378906,344.1581969485817,11.828802971883645,0.14178792571656307,456.6399856567383,416.0137860107422,Medium Price,2025-06-07T19:07:24.048260,250,470.0899963378906,,,470.38,473.3399963378906,468.7799987792969
GOOGL,Alphabet Inc.,,42429050.0,206.81182081300247,140.52999877929688,0.02885137009733807,0.287469602271024,166.93449935913085,160.2810009765625,Medium Price,2025-06-07T19:07:24.428646,250,170.8300018310547,,,173.68,174.5,170.8300018310547
AMZN,"Amazon.com, Inc.",,42922086.666666664,242.52000427246094,151.61000061035156,15.881716650998046,0.3422175125940834,205.60200042724608,192.68399993896483,Medium Price,2025-06-07T19:07:24.434900,250,212.39999389648438,,,213.57,213.8699951171875,210.5
META,"Meta Platforms, Inc.",,14401673.333333334,740.2514192957425,441.4789064419887,42.051152815373214,0.36377812407695315,649.7330017089844,590.103603515625,High Price,2025-06-07T19:07:24.487906,250,696.1699829101562,,,697.71,702.8099975585938,691.8699951171875
CRM,"Salesforce, Inc.",,7168466.666666667,368.0012138342595,226.44494936978836,14.168423588405243,0.309125507729428,277.8500045776367,267.8001977539063,Medium Price,2025-06-07T19:07:24.866000,250,269.9700012207031,,,274.51,274.8999938964844,268.2099914550781
NOW,"ServiceNow, Inc.",,1401506.6666666667,1198.0899658203125,678.6599731445312,47.42347197903663,0.19862156529110064,1018.7799987792969,917.2585986328126,High Price,2025-06-07T19:07:24.867972,250,1026.22998046875,,,1030.21,1034.5999755859375,1016.3400268554688
ORCL,Oracle Corporation,,7854760.0,197.11568856250315,118.43455508537816,39.74228870742205,0.2786548751714313,162.3120002746582,147.54184524536132,Medium Price,2025-06-07T19:07:24.918141,250,174.0,,,174.02,174.7899932861328,172.66000366210938
SNOW,Snowflake Inc.,,5305536.666666667,214.8300018310547,107.12999725341797,60.6889608638421,0.5166488448064376,194.9534996032715,168.93559936523437,Medium Price,2025-06-07T19:07:25.299162,250,211.4499969482422,,,210.84,213.0,209.39999389648438
PLTR,Palantir Technologies Inc.,,98675430.0,135.27999877929688,21.229999542236328,447.91936570960206,0.5961782521818118,125.69399948120117,109.27719970703124,Medium Price,2025-06-07T19:07:25.310734,250,123.7300033569336,,,127.72,128.1300048828125,121.91999816894531
